_NAME_,_LABEL_, sample_promo_coeffs , test_promo_coeffs , total_promo_coeffs 
Grade_by_step3occ_620_grade_99_s,  occ_620_grade_99_step_01,-0.1346 ,-0.2341 ,-0.3148 
Grade_by_step3occ_621_grade_1_10,  occ_621_grade_1_step_10, 1.0232 , 1.2837 , 1.1052 
Grade_by_step3occ_621_grade_1_s2,  occ_621_grade_1_step_02, 0.7779 , 1.6781 , 1.3104 
Grade_by_step3occ_621_grade_1_s3,  occ_621_grade_1_step_03, 7.1443 , 19.0274 , 8.6302 
Grade_by_step3occ_621_grade_1_s4,  occ_621_grade_1_step_04, 19.4523 , 41.1001 , 33.8097 
Grade_by_step3occ_621_grade_1_s5,  occ_621_grade_1_step_05, 5.4436 , 0.8162 , 3.3017 
Grade_by_step3occ_621_grade_1_s6,  occ_621_grade_1_step_06, 4.3760 , 5.8126 , 4.7783 
Grade_by_step3occ_621_grade_1_s7,  occ_621_grade_1_step_07, 0.5920 , 0.3680 , 0.5974 
Grade_by_step3occ_621_grade_1_s8,  occ_621_grade_1_step_08, 8.1198 , 6.3270 , 23.6218 
Grade_by_step3occ_621_grade_1_s9,  occ_621_grade_1_step_09, 1.3730 , 0.5495 , 0.8932 
Grade_by_step3occ_621_grade_1_st,  occ_621_grade_1_step_01, 4.6121 , 5.6746 , 5.2966 
Grade_by_step3occ_621_grade_2_s2,  occ_621_grade_2_step_02, 1.2734 , 0.7209 , 1.0833 
Grade_by_step3occ_621_grade_2_s3,  occ_621_grade_2_step_03,-0.3588 , 0.0253 ,-0.0667 
Grade_by_step3occ_621_grade_2_s4,  occ_621_grade_2_step_04,-0.5037 , 0.1791 ,-0.0549 
Grade_by_step3occ_621_grade_2_s5,  occ_621_grade_2_step_05, 0.7337 , 0.2781 , 0.5653 
Grade_by_step3occ_621_grade_2_s6,  occ_621_grade_2_step_06, 0.4264 , 0.1035 , 0.2737 
Grade_by_step3occ_621_grade_2_s7,  occ_621_grade_2_step_07, 0.8817 , 0.7717 , 0.7816 
Grade_by_step3occ_621_grade_2_s8,  occ_621_grade_2_step_10,-0.5102 ,-0.6045 ,-0.5596 
Grade_by_step3occ_621_grade_2_st,  occ_621_grade_2_step_01, 0.4272 , 0.5767 , 0.4283 
Grade_by_step3occ_621_grade_3_10,  occ_621_grade_3_step_10,-0.8006 ,-1.1189 ,-0.8561 
Grade_by_step3occ_621_grade_3_s2,  occ_621_grade_3_step_02, 0.7691 , 1.5254 , 1.0565 
Grade_by_step3occ_621_grade_3_s3,  occ_621_grade_3_step_03,-0.1333 , 0.0380 ,-0.1106 
Grade_by_step3occ_621_grade_3_s4,  occ_621_grade_3_step_04,-0.3396 ,-0.1246 ,-0.2021 
Grade_by_step3occ_621_grade_3_s5,  occ_621_grade_3_step_05, 0.5404 , 0.7411 , 0.6399 
Grade_by_step3occ_621_grade_3_s6,  occ_621_grade_3_step_06, 0.0684 ,-0.3896 ,-0.1795 
Grade_by_step3occ_621_grade_3_s7,  occ_621_grade_3_step_07,-1.1952 ,-0.8827 ,-1.0964 
Grade_by_step3occ_621_grade_3_s8,  occ_621_grade_3_step_08,-0.8381 ,-0.9290 ,-1.0013 
Grade_by_step3occ_621_grade_3_s9,  occ_621_grade_3_step_09,-1.2482 ,-1.3386 ,-1.2823 
Grade_by_step3occ_621_grade_3_st,  occ_621_grade_3_step_01, 2.8723 , 2.7980 , 2.8449 
Grade_by_step3occ_621_grade_4_10,  occ_621_grade_4_step_10,-0.7038 ,-0.6079 ,-0.6238 
Grade_by_step3occ_621_grade_4_11,  occ_621_grade_4_step_X, 0.9686 , 0.7865 , 0.8122 
Grade_by_step3occ_621_grade_4_s2,  occ_621_grade_4_step_02, 0.7532 , 0.7488 , 0.7333 
Grade_by_step3occ_621_grade_4_s3,  occ_621_grade_4_step_03,-0.3544 ,-0.4257 ,-0.4081 
Grade_by_step3occ_621_grade_4_s4,  occ_621_grade_4_step_04,-0.4216 ,-0.3638 ,-0.4220 
Grade_by_step3occ_621_grade_4_s5,  occ_621_grade_4_step_05,-0.5978 ,-0.5079 ,-0.5400 
Grade_by_step3occ_621_grade_4_s6,  occ_621_grade_4_step_06,-0.4389 ,-0.6571 ,-0.5795 
