soc,wage_50_comparison_groups,wage_10,wage_25,wage_50,education,experience,training,english,health_insurance_pct,regular_schedule_pct,full_time_pct,safety_conditions,male_75+_pct,male_pct,employment_2014,employment_2024,growth_2014_2024,growth_2014_2024_pct,growth_replacement_2014_2024
519194,31000,19680,23500,29810,1,None,Moderate-term on-the-job training,3.9,0.521,0.678,0.823,9,Yes,0.79,9.7,9.5,-0.3,-0.027,2.5
533033,30000,18860,22390,29850,1,None,Short-term on-the-job training,3,0.666,0.679,0.919,10,Yes,0.951,884.7,911.9,27.3,0.031,177.8
519083,32000,20610,24500,29860,1,None,Moderate-term on-the-job training,3,0.741,0.818,0.829,10,No,0.454,30.2,33.2,3,0.098,10.2
499095,30000,19640,24190,30050,1,None,Short-term on-the-job training,3.3,0.623,0.531,0.909,12,Yes,0.957,4,2.8,-1.2,-0.3,1
515113,30000,19590,23550,30260,1,None,Short-term on-the-job training,2.9,0.791,0.662,0.86,8,No,0.63,51.2,44.2,-7,-0.137,7.7
351012,30000,19990,23430,30340,1,Less than 5 years,None,2.9,0.563,0.575,0.744,10,No,0.475,890.1,978.6,88.5,0.099,352.9
435071,30000,20230,24500,30450,1,None,Short-term on-the-job training,3.2,0.77,0.759,0.902,11,No,0.72,670.2,655.7,-14.5,-0.022,145.5
514193,30000,20730,24720,30550,1,None,Moderate-term on-the-job training,2.5,0.806,0.593,0.982,10,Yes,0.807,36.1,29.4,-6.7,-0.184,8.9
319092,30000,22040,26080,30590,2,None,None,3.8,0.777,1,0.831,10,No,0.088,591.3,730.2,138.9,0.235,262.1
211093,32000,20120,24390,30830,1,None,Short-term on-the-job training,4.2,0.842,0.787,0.862,8,No,0.237,386.6,430.8,44.2,0.114,120
512022,30000,20240,24540,30860,1,None,Moderate-term on-the-job training,2.4,0.752,0.632,0.958,10,No,0.533,207.2,197,-10.2,-0.049,25.5
339031,28600,21460,25780,31170,1,None,Short-term on-the-job training,3.8,0.658,0.961,0.818,8,Yes,0.768,7,6.6,-0.5,-0.07,1
514031,29900,20800,25160,31280,1,None,Moderate-term on-the-job training,2.8,0.757,0.769,0.956,11,Yes,0.826,192.2,152.7,-39.5,-0.206,24.3
